feature_time_wib,sym,dir,venue,hit,pnl,btc_ctx_time_wib,btc_regime,btc_confidence,btc_syn_score,btc_fng,btc_funding,btc_oi_usd,btc_etf_bias,btc_rsi,ctx_lag_s
2026-07-10 08:17:04,ARB,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-07-10 08:58:46,AAVE,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-07-10 09:31:20,ZEC,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-07-10 18:01:58,BCH,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-07-11 04:46:16,UNI,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-07-11 08:16:17,ENA,LONG,futures,EXPIRED,0.0,,,,,,,,,,
2026-07-11 08:16:17,VIRTUAL,LONG,futures,TP1,47.91,,,,,,,,,,
2026-07-11 11:05:57,BTC,LONG,futures,MANUAL_EXIT,124.01,,,,,,,,,,
2026-07-11 17:09:26,HBAR,SHORT,futures,EXPIRED,0.0,,,,,,,,,,
2026-07-11 17:16:30,VIRTUAL,LONG,futures,TP1,25.0,,,,,,,,,,
2026-07-11 17:31:11,VIRTUAL,LONG,futures,SL,-10.0,,,,,,,,,,
2026-07-11 18:11:15,BTC,SHORT,futures,EXPIRED,0.0,,,,,,,,,,
2026-07-11 18:11:16,CRV,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-07-11 20:03:27,WLD,LONG,futures,SL,-10.0,,,,,,,,,,
2026-07-11 21:32:01,ARB,LONG,futures,SL,-10.0,,,,,,,,,,
2026-07-11 22:46:09,ARB,LONG,futures,SL,-10.0,,,,,,,,,,
2026-07-11 23:05:19,AAVE,LONG,futures,SL,-10.0,,,,,,,,,,
2026-07-12 04:16:28,ZEC,LONG,futures,SL,-10.0,,,,,,,,,,
2026-07-12 05:02:28,UNI,LONG,futures,SL,-10.0,,,,,,,,,,
2026-07-12 23:49:26,XRP,SHORT,,EXPIRED,0.0,,,,,,,,,,
2026-08-02 08:20:29,NVDAB,SHORT,futures,DRIFT,-2.89,,,,,,,,,,
2026-08-03 00:45:39,BTC,SHORT,futures,DRIFT,-0.01,,,,,,,,,,
2026-08-03 04:05:09,TRX,LONG,futures,EXPIRED,0,,,,,,,,,,
2026-08-03 08:45:52,BTC,SHORT,futures,DRIFT,0.37,,,,,,,,,,
2026-08-06 17:34:08,BNB,LONG,futures,DRIFT,-0.25,,,,,,,,,,
2026-08-06 18:02:09,ZEC,LONG,futures,TP1,5.0,,,,,,,,,,
2026-08-06 19:37:15,NVDAB,SHORT,futures,DRIFT,-0.33,,,,,,,,,,
